reviewId,content,score
79c65536-8978-42c6-9700-657e08a02bd1,Kenapa tidak bisa didownload,1
4f8240cf-f2ef-415f-a023-93d0c76d27c9,Bagus,5
c5f1f895-ed5f-4fcb-a3a3-68433e36e899,mantap,5
076a164f-5f64-4acc-b9ff-4175dc88e3c3,pertanyaan saya. siapa yang membuat aplikasi ini ? lulusan apa dia ? aplikasi banyak bug begini. mau daftar aja g bisa. sok2an pake verifikasi wajah pula. tp kemampuan pembuat aplikasinya kalah sama anak SMK . entah kenapa setiap kali ada aplikasi dari pemerintah pasti g bener hasilnya. kalah sama aplikasi swasta. beginilah gambaran kualitas pekerja atau tenaga kerja di pemerintahan kita guys... asal-asalan padahal di gaji oleh pajak masyarakat,1
2cda7a52-b531-493a-9f35-8365678f4776,oke,5
2298b79f-5317-4066-92e3-65728286a4e0,"Mau daftar aja ribetnya, scan wajah gagal terus padahal udah sesuai, cahaya bagus, gak pakai aksesoris, terus sms notifikasi juga gak muncul",1
5a050db1-dae8-4e51-89c3-fe179083aad9,Aplikasi terlalu lelet dan ribet,1
8f9e4006-5131-4bb7-a6f7-52ac7d5cbc20,Sangat cepat respon,5
9b486ac2-b245-470b-b206-ff1f87a57c0a,Bintang yang berbicara,5
306e18d6-329a-4cea-9f76-6a4fad9cd4b6,"Susah daftarnya, minta kode Verifikasi gk ada balesan di ulang2 sampek capek",1
09c1bb1e-7865-4a3d-bb92-c4692748b584,"kacau sering eror, bug gak jelas",1
769d2029-e6ac-4ca4-a73e-bbfc1397184c,"""Akun sudah terdaftar"" padahal baru mau bikin akun untuk yang pertama kalinya",1
a826cdfa-58ac-4dc5-ab43-d621e6f0d180,Oke,5
42b7d825-73e7-45a7-a04f-113fa5c6c491,stelah di upgrade meski sinyal bagus + pk wifi tetep aja ga bs ke buka !!,2
027a9581-3c53-4462-884b-0d3ed1b222e2,oke,5
ebd3a13f-33eb-4fc6-8e59-7aea27956920,bagus,5
ed24af9e-52de-4160-aad3-48c8c1f4bbf2,"Fitur lupa password ga guna, kode otp gk ada yg terkirim",1
58b5795f-2105-43d9-8d25-aff80901f16c,"Ini kenapa ya aplikasinya tdk bisa dibuka dgn tulisan ""aplikasi tdk bisa berjalan pada emulator yg telah dilakukan root"" Padahal saya sudah verifikasi..",1
f7027062-667c-4489-9b1f-0bef880fb6b0,layanan informasi baik dan ramah,5
59777c5c-1380-443a-b6da-f24ca8f2fc22,ok,5
9b98b0a7-f171-4e65-9bcf-6b53a862decc,Sipp yaa pedis,5
1548b613-e3f8-4a96-ac2c-a70443bbc053,oke,5
fa0d2adf-acbf-4491-b500-eec8a2c5201f,"Saya udah berhasil ganti password, tapi waktu login masih dibilangin salah NIK sama passwordnya. Jadi sebenernya aplikasi ini gimana sistemnya? Kok berhasil ganti password tapi tetep nggk bisa login. Saya sudah tua jadi sudah cukup kesulitan memahami teknologi ini, tapi kalo memang terpaksa saya akan pelajarin, tapi kalo sistemnya JELEK BANGET kek ini malah lebih NYUSAHIN",1
ace0c83e-d380-4498-ab96-889e6b6a1e18,kerenk,5
5a828538-502e-498d-9c8e-9269b8d62690,aplikasi Ter lemmot Ter aneh ribet sumpah suka error,1
218ab843-9d4b-4e61-8369-dfaaa5e9dfda,aplikasi terburuk sepanjanv masaaaaaaaa. apus aja woiii !!!,1
