reviewId,content,score,translated_text,clean_text
79c65536-8978-42c6-9700-657e08a02bd1,Kenapa tidak bisa didownload,1,Why can't it be downloaded?,cant downloaded
4f8240cf-f2ef-415f-a023-93d0c76d27c9,Bagus,5,Good,good
c5f1f895-ed5f-4fcb-a3a3-68433e36e899,mantap,5,solid,solid
076a164f-5f64-4acc-b9ff-4175dc88e3c3,pertanyaan saya. siapa yang membuat aplikasi ini ? lulusan apa dia ? aplikasi banyak bug begini. mau daftar aja g bisa. sok2an pake verifikasi wajah pula. tp kemampuan pembuat aplikasinya kalah sama anak SMK . entah kenapa setiap kali ada aplikasi dari pemerintah pasti g bener hasilnya. kalah sama aplikasi swasta. beginilah gambaran kualitas pekerja atau tenaga kerja di pemerintahan kita guys... asal-asalan padahal di gaji oleh pajak masyarakat,1,"my question. who made this application? What graduate did he have? This application has lots of bugs. I can't even register. Pretend to use face verification too. But the application maker's ability is inferior to that of vocational school students. For some reason, every time there is an application from the government the results are always wrong. inferior to private applications. This is the picture of the quality of workers or workforce in our government, guys... it's haphazard even though they are paid by public taxes",question made application graduate application lot bug cant even register pretend use face verification application maker ability inferior vocational school student reason every time application government result always wrong inferior private application picture quality worker workforce government guy haphazard even though paid public tax
2cda7a52-b531-493a-9f35-8365678f4776,oke,5,limit,limit
2298b79f-5317-4066-92e3-65728286a4e0,"Mau daftar aja ribetnya, scan wajah gagal terus padahal udah sesuai, cahaya bagus, gak pakai aksesoris, terus sms notifikasi juga gak muncul",1,"Just wanting to register is a hassle, the face scan keeps failing even though it's appropriate, the light is good, I don't use accessories, and the SMS notification doesn't appear either.",wanting register hassle face scan keep failing even though appropriate light good dont use accessory sm notification doesnt appear either
5a050db1-dae8-4e51-89c3-fe179083aad9,Aplikasi terlalu lelet dan ribet,1,The application is too slow and complicated,application slow complicated
8f9e4006-5131-4bb7-a6f7-52ac7d5cbc20,Sangat cepat respon,5,Very fast response,fast response
9b486ac2-b245-470b-b206-ff1f87a57c0a,Bintang yang berbicara,5,Talking stars,talking star
306e18d6-329a-4cea-9f76-6a4fad9cd4b6,"Susah daftarnya, minta kode Verifikasi gk ada balesan di ulang2 sampek capek",1,"It's hard to register, asking for a verification code, no reply over and over until I'm tired",hard register asking verification code reply im tired
09c1bb1e-7865-4a3d-bb92-c4692748b584,"kacau sering eror, bug gak jelas",1,"chaotic, frequent errors, unclear bugs",chaotic frequent error unclear bug
769d2029-e6ac-4ca4-a73e-bbfc1397184c,"""Akun sudah terdaftar"" padahal baru mau bikin akun untuk yang pertama kalinya",1,"""Account is already registered"" even though I just want to create an account for the first time",account already registered even though want create account first time
a826cdfa-58ac-4dc5-ab43-d621e6f0d180,Oke,5,Too much,much
42b7d825-73e7-45a7-a04f-113fa5c6c491,stelah di upgrade meski sinyal bagus + pk wifi tetep aja ga bs ke buka !!,2,"After upgrading, even though the signal is good + the WiFi pk still won't open!!",upgrading even though signal good wifi pk still wont open
027a9581-3c53-4462-884b-0d3ed1b222e2,oke,5,limit,limit
ebd3a13f-33eb-4fc6-8e59-7aea27956920,bagus,5,Good,good
ed24af9e-52de-4160-aad3-48c8c1f4bbf2,"Fitur lupa password ga guna, kode otp gk ada yg terkirim",1,"The forgot password feature doesn't work, no OTP code was sent",forgot password feature doesnt work otp code sent
58b5795f-2105-43d9-8d25-aff80901f16c,"Ini kenapa ya aplikasinya tdk bisa dibuka dgn tulisan ""aplikasi tdk bisa berjalan pada emulator yg telah dilakukan root"" Padahal saya sudah verifikasi..",1,"This is why the application can't be opened with the words ""the application cannot run on an emulator that has been rooted"" even though I have verified it...",application cant opened word application run emulator rooted even though verified
f7027062-667c-4489-9b1f-0bef880fb6b0,layanan informasi baik dan ramah,5,good and friendly information service,good friendly information service
59777c5c-1380-443a-b6da-f24ca8f2fc22,ok,5,ok,ok
9b98b0a7-f171-4e65-9bcf-6b53a862decc,Sipp yaa pedis,5,Sipp yaa pedis,sipp yaa pedis
1548b613-e3f8-4a96-ac2c-a70443bbc053,oke,5,limit,limit
fa0d2adf-acbf-4491-b500-eec8a2c5201f,"Saya udah berhasil ganti password, tapi waktu login masih dibilangin salah NIK sama passwordnya. Jadi sebenernya aplikasi ini gimana sistemnya? Kok berhasil ganti password tapi tetep nggk bisa login. Saya sudah tua jadi sudah cukup kesulitan memahami teknologi ini, tapi kalo memang terpaksa saya akan pelajarin, tapi kalo sistemnya JELEK BANGET kek ini malah lebih NYUSAHIN",1,"I've successfully changed my password, but when I log in it still says I have the wrong NIK and password. So what is the system actually like for this application? How come I managed to change my password but still can't log in? I'm old so it's already quite difficult to understand this technology, but if I have to I'll learn it, but if the system is REALLY BAD it's even more of a pain.",ive successfully changed password log still say wrong nik password system actually like application come managed change password still cant log im old already quite difficult understand technology ill learn system really bad even pain
ace0c83e-d380-4498-ab96-889e6b6a1e18,kerenk,5,by the way,way
5a828538-502e-498d-9c8e-9269b8d62690,aplikasi Ter lemmot Ter aneh ribet sumpah suka error,1,"The slowest application, the strangest and most complicated, I swear it makes errors",slowest application strangest complicated swear make error
218ab843-9d4b-4e61-8369-dfaaa5e9dfda,aplikasi terburuk sepanjanv masaaaaaaaa. apus aja woiii !!!,1,Worst app ever. just delete it wow!!!,worst app ever delete wow
6a9a6802-e321-4574-8a2a-0601a97f1dc6,Yo wis oke,5,I wis oke,wi oke
067317f6-f299-40a0-b699-6a930b883006,membantu,5,help,help
567fe25e-a916-4243-9a26-43742bdcd943,"Aplikasi gajelas, baru download dibilang pake emulator",1,"The application is not clear, just downloaded it was said to be using an emulator",application clear downloaded said using emulator
56cd8b81-b857-499c-89d1-7a3e0fa5f0c5,aplikasi rusak mau cek lupa sandi ga bisa nunggu otp lama. giliran mau daftar lagi ga bisa tolong lah upgrade lagi minimal 2kali apa 3kali pendaftaran. kalo daftar awal gak bisa login selanjutnya masih bisa daftar lagi,1,"The application is broken, I want to check, I forgot my password, I can't wait for the OTP for a long time. It's your turn to register again, can't you please upgrade again at least 2 times or 3 times to register. If you can't log in when you first register, you can still register again",application broken want check forgot password cant wait otp long time turn register cant please upgrade least time time register cant log first register still register
de4fd7b7-d4a9-4daa-a4b7-b2ac00fcce6d,"Sdh isi pulsa Kouta Bru,gnti lgi kenkouta Telkomsel, coba lgi pke WiFi apk ga guna skli gak bisa msuk, maunya apa sih kt ini butuh TPI gak bisa di gunakan,apa tnggu orng meninggal Bru apk bisa di gunakan Harusnya ketika anda buat apk Perbaiki untk kenyaman, bukan memper sulit, kalau mmng gak bisa jng paksain buat ini apk,",1,"I've topped up my Kouta Bru credit, I've changed it again to Telkomsel's Kouta, I've tried again using the WiFi apk, it doesn't work, I can't get in, what do you want if you need it? The TPI can't be used, or wait for someone to die, the Bru apk can be used. When you make the apk, fix it for convenience, not to make it difficult, if you can't, don't force yourself to make this apk.",ive topped kouta bru credit ive changed telkomsels kouta ive tried using wifi apk doesnt work cant get want need tpi cant used wait someone die bru apk used make apk fix convenience make difficult cant dont force make apk
8cab03c7-fc42-4ddc-86e8-559ad44e7f54,aplikasi sampah,1,trash app,trash app
0ba7dfb5-eb91-4a60-ab3f-3032bf196f71,Pulsa udah abis tapo otp belum keluar trus gimna malah mempersulit rakyat adduh,2,"The credit has run out but the OTP hasn't come out yet, so what makes it even more difficult for people?",credit run otp hasnt come yet make even difficult people
504c226e-5363-4f4a-937b-095321684e9d,Aplikasi aneh awal donlod bisa masuk pas yang kedua kalinya mau masuk malah gak bisa ini bukan membantu namanya malah tambah mempersulit,1,"The strange application that was first downloaded was able to enter when the second time it wanted to enter but it couldn't, this didn't help, it actually made things more difficult",strange application first downloaded able enter second time wanted enter couldnt didnt help actually made thing difficult
9b5f7910-fa19-4b20-af0d-7b71a5bb5c9d,sangat mbantu,5,very helpful,helpful
e26a5218-1659-449c-b85e-671691e2171f,"Aplikasi memudahkan masyarakat, masyaallah",5,"The application facilitates the community, masyaallah",application facilitates community masyaallah
77dadb35-f8d7-45a0-a39b-00d81355de91,Good,5,Good,good
